ROW_NUMBER,MISSION_NUMBER,OP_ORDER,UNIT,AIRCRAFT_TYPE_MDS,NBR_ATTACK_EFFEC_AIRCRAFT,SORTIE_DUPE,NBR_ABORT_AIRCRAFT,NBR_LOST_AIRCRAFT,TARGET_NAME,TGT_TYPE,SOURCE_UTM_JAPAN_B,SOURCE_TGT_UTM,TGT_MGRS,TGT_LATITUDE_WGS84,TGT_LONGITUDE_WGS84,SOURCE_TGT_LAT,SOURCE_TGT_LONG,NBR_OF_WEAPONS,WEAPONS_TYPE,BOMB_SIGHTING_METHOD,TOTAL_BOMBLOAD_IN_LBS,TOT,MISSION_TYPE,ALTITUDE_FT,CALLSIGN,BDA,NOSE_FUZE,TAIL_FUZE,CALCULATED_BOMBLOAD_LBS,RECORD_SOURCE,DAY,MONTH,YEAR,MISSION_DATE,City/Town,geometry,In_Land
5718,674,24-52,307th Bomb Wing,B-29,1.0,,,,,Front line target,,CT block,,38.86182430555555,126.60346541666664,,,38,500 GP,Radar,,250238I,Interdiction,18000,,,0.01,Non-delay,19000.0,EXETER,24,1,1952,1952-01-24,North Korea,POINT (126.60346541666664 38.86182430555555),True
5719,674,24-52,307th Bomb Wing,B-29,11.0,,,,Sunchon,South railroad by-pass bridge,,YD 5569,51SYD5569,39.43283,125.96273,,,415,500 GP,Shoran radar,,,Interdiction,22500 - 24500,,Results of the attack are included in the mission report mission 673.,0.01,Non-delay,207500.0,EXETER,24,1,1952,1952-01-24,Sunchon-si,POINT (125.96273 39.43283),True
5720,674,24-52,98th Bomb Wing,B-29,1.0,,,,,,,,,38.86182430555555,126.60346541666664,,,32,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,18050,,Fuzed to discharge leaflets 1000 ft above the terrain.,,,16000.0,EXETER,24,1,1952,1952-01-24,North Korea,POINT (126.60346541666664 38.86182430555555),True
5721,674,24-52,307th Bomb Wing,B-29,11.0,1.0,,,Sunchon,South railroad by-pass bridge,,YD 5569,51SYD5569,39.43283,125.96273,,,18,M-46,Shoran radar,,,Interdiction,22500 - 24500,,Results of the attack are included in the mission report mission 673.,,,4500.0,EXETER,24,1,1952,1952-01-24,Sunchon-si,POINT (125.96273 39.43283),True
5722,674,24-52,91st Strategic Recon Sq,,1.0,,,,,Mission 1-24-1 accomplished reconnaissance of Route Yoke Three. A K-22 aerial camera with a 24 inch cone was used.,,,,38.86182430555555,126.60346541666664,,,,,,,,Recon,2000 - 12000,,Fair results.,,,,EXETER,24,1,1952,1952-01-24,North Korea,POINT (126.60346541666664 38.86182430555555),True
5723,674,24-52,91st Strategic Recon Sq,,1.0,,,,,"""Mission 1-24-2 accomplished FRJ-227, 228, 213, 232, 233, 212, and 211. A K-11 aerial camera with a 6 inch cone was used.""",,,,38.86182430555555,126.60346541666664,,,,,,,,Recon,22000,,Fair results.,,,,EXETER,24,1,1952,1952-01-24,North Korea,POINT (126.60346541666664 38.86182430555555),True
5724,674,24-52,91st Strategic Recon Sq,,1.0,,,,,Mission 1-24-3 accomplished JM-3 lines 1 and 2. A T-11 camera with a 6 inch cone was used.,,,,38.86182430555555,126.60346541666664,,,,,,,,Recon,5000 - 12000,,Fair results.,,,,EXETER,24,1,1952,1952-01-24,North Korea,POINT (126.60346541666664 38.86182430555555),True
5725,675,25-52,19th Bomb Group,B-29,1.0,1.0,,,,Supplies,,CT 0837,52SCH0837,38.26053,126.80548,,,9,500 GP,Radar,,260237I,Close support,17500,,Secondary explosions.,0.01,Non-delay,4500.0,EXETER,25,1,1952,1952-01-25,Yongam-ri,POINT (126.80548 38.26053),True
5726,675,25-52,19th Bomb Group,B-29,1.0,,,,,Unknown target,,CT 8869,52SCH8869,38.56239,127.71448,,,10,500 GP,Radar,,252107I,Close support,17500,,,0.01,Non-delay,5000.0,EXETER,25,1,1952,1952-01-25,North Korea,POINT (127.71448 38.56239),True
5727,675,25-52,19th Bomb Group,B-29,1.0,1.0,,,,Unknown target,,CT 7868,52SCH7868,38.55207,127.59991,,,10,500 GP,Radar,,,Close support,17500,,,0.01,Non-delay,5000.0,EXETER,25,1,1952,1952-01-25,North Korea,POINT (127.59991 38.55207),True
5728,675,25-52,19th Bomb Group,B-29,1.0,1.0,,,,Unknown target,,CT 8272,52SCH8272,38.58865,127.64512,,,10,500 GP,Radar,,,Close support,17500,,Fire observed.,0.01,Non-delay,5000.0,EXETER,25,1,1952,1952-01-25,Daebaekri,POINT (127.64512 38.58865),True
5729,675,25-52,19th Bomb Group,B-29,1.0,1.0,,,,Unknown target,,CT 8070,52SCH8070,38.57036,127.62251,,,10,500 GP,Radar,,252145I,Close support,17500,,,0.01,Non-delay,5000.0,EXETER,25,1,1952,1952-01-25,North Korea,POINT (127.62251 38.57036),True
5730,675,25-52,19th Bomb Group,B-29,1.0,,,,,Unknown target,,CT 1933,52SCH1933,38.22679,126.93216,,,10,500 GP,Radar,,252311I,Close support,18500,,,VT,0.01,5000.0,EXETER,25,1,1952,1952-01-25,North Korea,POINT (126.93216 38.22679),True
5731,675,25-52,19th Bomb Group,B-29,1.0,1.0,,,,Unknown target,,CT 1853,52SCH1853,38.40672,126.91558,,,10,500 GP,Radar,,,Close support,18500,,,VT,0.01,5000.0,EXETER,25,1,1952,1952-01-25,Chukdong-ri,POINT (126.91558 38.40672),True
5732,675,25-52,19th Bomb Group,B-29,1.0,1.0,,,,Unknown target,,CT 1852,52SCH1852,38.39771,126.91584,,,10,500 GP,Radar,,,Close support,18500,,,VT,0.01,5000.0,EXETER,25,1,1952,1952-01-25,Chotan-ri,POINT (126.91584 38.39771),True
5733,675,25-52,19th Bomb Group,B-29,1.0,1.0,,,,Unknown target,,CT 1953,52SCH1953,38.40692,126.92703,,,10,500 GP,Radar,,252349I,Close support,18500,,,VT,0.01,5000.0,EXETER,25,1,1952,1952-01-25,Chukdong-ri,POINT (126.92703 38.40692),True
5734,675,25-52,19th Bomb Group,B-29,1.0,,,,,Supplies,,CT 0029,52SCH0029,38.18675,126.71637,,,11,500 GP,Radar,,260209I,Close support,17500,,,0.01,Non-delay,5500.0,EXETER,25,1,1952,1952-01-25,Kaesong,POINT (126.71637 38.18675),True
5735,675,25-52,19th Bomb Group,B-29,1.0,1.0,,,,Supplies,,CT 0619,52SCH0619,38.098,126.78755,,,18,500 GP,Radar,,,Close support,17500,,Secondary explosions.,0.01,Non-delay,9000.0,EXETER,25,1,1952,1952-01-25,Kaesong,POINT (126.78755 38.098),True
5736,675,25-52,19th Bomb Group,B-29,1.0,,,,Kyomipo,Marshalling yard,,YE 2890,51TYE2890,40.5294,125.6918,,,40,500 GP,Radar,,260113I,Interdiction,22500,,,0.01,Non-delay,20000.0,EXETER,25,1,1952,1952-01-25,Byeolsang-ri,POINT (125.6918 40.5294),True
5737,675,25-52,19th Bomb Group,B-29,11.0,,,,Songchon,West Railroad by-pass bridge,,BU 5849,52SBJ5849,39.25658,126.19534,,,428,500 GP,Shoran radar,,,Interdiction,22300 - 24300,,Post-strike recon revealed bombs dropped during the attack on the bridge formed one large pattern with the MPI approximately 1150 ft short of aiming point. No new damage was inflicted upon the bridge which remained serviceable.,0.01,Non-delay,214000.0,EXETER,25,1,1952,1952-01-25,Songchon-up,POINT (126.19534 39.25658),True
5738,675,25-52,98th Bomb Wing,B-29,1.0,,,,,,,,,38.898743125,126.51651296875,,,32,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,18000,,Fuzed to discharge leaflets 1000 ft above the terrain.,,,16000.0,EXETER,25,1,1952,1952-01-25,Daegunri,POINT (126.51651296875 38.898743125),True
5739,675,25-52,19th Bomb Group,B-29,11.0,1.0,,,Songchon,West Railroad by-pass bridge,,BU 5849,52SBJ5849,39.25658,126.19534,,,36,M-46,Shoran radar,,,Interdiction,22300 - 24300,,,,,9000.0,EXETER,25,1,1952,1952-01-25,Songchon-up,POINT (126.19534 39.25658),True
5740,675,25-52,91st Strategic Recon Sq,,1.0,,,,Mission 1-25-1 accomplished reconnaissance of Route Yoke Three. A O-15 radar scope was used.,,,,,38.898743125,126.51651296875,,,,,,,,Recon,1000 - 7000,,Good results.,,,,EXETER,25,1,1952,1952-01-25,Daegunri,POINT (126.51651296875 38.898743125),True
5741,675,25-52,91st Strategic Recon Sq,,1.0,,,,"""Mission 1-25-1A accomplished FR-771 from 3830N-12500E to 3830N-12638E. A K-22 with a 24 inch cone, K-38 with a 36 inch cone, and a K-17 with a 6 inch cone were used.""",,,,,38.898743125,126.51651296875,,,,,,,,Recon,30000,,Good results.,,,,EXETER,25,1,1952,1952-01-25,Daegunri,POINT (126.51651296875 38.898743125),True
5742,675,25-52,91st Strategic Recon Sq,,1.0,,,,"""Mission 1-25-2 accomplished FRJ-280, 284, 285, 282, and 286. A T-11 camera with a 12 inch cone was used.""",,,,,38.898743125,126.51651296875,,,,,,,,Recon,7500,,Good results.,,,,EXETER,25,1,1952,1952-01-25,Daegunri,POINT (126.51651296875 38.898743125),True
5743,676,26-52,98th Bomb Wing,B-29,8.0,1.0,,,Sinanju,Airfield,,XE 2138,51TXE2138,40.08359,124.41924,,,29,100 GP,Shoran radar,,,Interdiction,24500 - 26500,,"""1 b omb pattern fell in open fields and across the highway northeast of the base during the attack. Other patterns, according to the reconnaissance report, fell around and on the north end of the airfield. Approximately 15 hits occurred on the runway. The damage had already been repaired and the airfield was serviceable when the oblique photographs were taken according to the bomb damage assessment report dated 17 February, 1952.""",,VD 1 - 144 hours,2900.0,EXETER,26,1,1952,1952-01-26,Sinuiju-si,POINT (124.41924 40.08359),True
5744,676,26-52,98th Bomb Wing,B-29,8.0,1.0,,,Sinanju,Airfield,,XE 2138,51TXE2138,40.08359,124.41924,,,115,100 GP,Shoran radar,,,Interdiction,24500 - 26500,,"""1 b omb pattern fell in open fields and across the highway northeast of the base during the attack. Other patterns, according to the reconnaissance report, fell around and on the north end of the airfield. Approximately 15 hits occurred on the runway. The damage had already been repaired and the airfield was serviceable when the oblique photographs were taken according to the bomb damage assessment report dated 17 February, 1952.""",0.01,,11500.0,EXETER,26,1,1952,1952-01-26,Sinuiju-si,POINT (124.41924 40.08359),True
5745,676,26-52,98th Bomb Wing,B-29,1.0,1.0,,,,Jettisoned,,,,38.94854839285714,126.74494803571427,,,8,500 GP,,,,,,,"""Bombs were """"kicked out"""" on a line from 3807N-13236E to 3722N-13553E.""",,,4000.0,EXETER,26,1,1952,1952-01-26,North Korea,POINT (126.74494803571427 38.94854839285714),True
5746,676,26-52,98th Bomb Wing,B-29,1.0,,,,,Unknown target,,CT 2563,52SCH2563,38.49818,126.99321,,,9,500 GP,Radar,,262147I,Close support,17500 - 18500,,Shacks,0.01,0.01,4500.0,EXETER,26,1,1952,1952-01-26,Construction site,POINT (126.99321 38.49818),True
5747,676,26-52,98th Bomb Wing,B-29,1.0,1.0,,,,Unknown target,,CT 3058,52SCH3058,38.45412,127.05173,,,9,500 GP,Radar,,262225I,Close support,17500 - 18500,,Very good hits reported by the ground controller.,0.01,0.01,4500.0,EXETER,26,1,1952,1952-01-26,Jeongsan-ri,POINT (127.05173 38.45412),True
5748,676,26-52,98th Bomb Wing,B-29,1.0,1.0,,,,Unknown target,,CT block,,38.94854839285714,126.74494803571427,,,10,500 GP,Radar,,270201I,Close support,17500 - 18500,,,0.01,0.01,5000.0,EXETER,26,1,1952,1952-01-26,North Korea,POINT (126.74494803571427 38.94854839285714),True
5749,676,26-52,98th Bomb Wing,B-29,1.0,1.0,,,,Unknown target,,CT block,,38.94854839285714,126.74494803571427,,,10,500 GP,Radar,,270229I,Close support,17500 - 18500,,,0.01,0.01,5000.0,EXETER,26,1,1952,1952-01-26,North Korea,POINT (126.74494803571427 38.94854839285714),True
5750,676,26-52,98th Bomb Wing,B-29,1.0,1.0,,,,Unknown target,,CT 2262,52SCH2262,38.48858,126.95909,,,11,500 GP,Radar,,262205I,Close support,17500 - 18500,,Shacks,0.01,0.01,5500.0,EXETER,26,1,1952,1952-01-26,Hoesan-ri,POINT (126.95909 38.48858),True
5751,676,26-52,98th Bomb Wing,B-29,1.0,1.0,,,,Unknown target,,CT 2070,52SCH2070,38.56023,126.93411,,,11,500 GP,Radar,,252238I,Close support,17500 - 18500,,Very good hits reported by the ground controller.,0.01,0.01,5500.0,EXETER,26,1,1952,1952-01-26,Mundong-ri,POINT (126.93411 38.56023),True
5752,676,26-52,98th Bomb Wing,B-29,1.0,,,,,Unknown target,,CT 807643 to CT 817636,,38.94854839285714,126.74494803571427,,,12,500 GP,Radar,,270324I,Close support,17500 - 18500,,2 secondary explosions.,,,6000.0,EXETER,26,1,1952,1952-01-26,North Korea,POINT (126.74494803571427 38.94854839285714),True
5753,676,26-52,98th Bomb Wing,B-29,1.0,,,,,Unknown target,,CT block,,38.94854839285714,126.74494803571427,,,20,500 GP,Radar,,270125I,Close support,17500 - 18500,,,0.01,0.01,10000.0,EXETER,26,1,1952,1952-01-26,North Korea,POINT (126.74494803571427 38.94854839285714),True
5754,676,26-52,98th Bomb Wing,B-29,1.0,1.0,,,,Unknown target,,CT 811637 to CT 818639,,38.94854839285714,126.74494803571427,,,20,500 GP,Radar,,270358I,Close support,17500 - 18500,,2 secondary explosions.,,,10000.0,EXETER,26,1,1952,1952-01-26,North Korea,POINT (126.74494803571427 38.94854839285714),True
5755,676,26-52,98th Bomb Wing,B-29,1.0,,1.0,,,Jettisoned,,,,38.94854839285714,126.74494803571427,3742N,13229E,36,500 GP,,,,,,,Aircraft air-aborted due to severe icing and inability to reach the ground controller.,,,18000.0,EXETER,26,1,1952,1952-01-26,North Korea,POINT (126.74494803571427 38.94854839285714),True
5756,676,26-52,98th Bomb Wing,B-29,2.0,,,,Hungnam,Marshalling yard,,CV 8109,52SCK8109,39.82267,127.60951,,,72,500 GP,Radar,,,Interdiction,15350 - 18000,,No new bomb craters were sighted. The yard was serviceable with two through lines intact.,0.01,Non-delay,36000.0,EXETER,26,1,1952,1952-01-26,Hamhung-si,POINT (127.60951 39.82267),True
5757,676,26-52,98th Bomb Wing,B-29,2.0,,,,Wa-dong,Highway and railroad bridge complex,,BU 8348,52SBJ8348,39.25419,126.48513,,,78,500 GP,Shoran radar,,262159I,Interdiction,20500 - 21000,,Post-strike recon plotted one bomb pattern north of the bridge. Both highway and railroad bridges were serviceable.,0.01,Non-delay,39000.0,EXETER,26,1,1952,1952-01-26,Sinyang-up,POINT (126.48513 39.25419),True
5758,676,26-52,98th Bomb Wing,B-29,8.0,,,,Sinanju,Airfield,,XE 2138,51TXE2138,40.08359,124.41924,,,253,500 GP,Shoran radar,,,Interdiction,24500 - 26500,,"""1 b omb pattern fell in open fields and across the highway northeast of the base during the attack. Other patterns, according to the reconnaissance report, fell around and on the north end of the airfield. Approximately 15 hits occurred on the runway. The damage had already been repaired and the airfield was serviceable when the oblique photographs were taken according to the bomb damage assessment report dated 17 February, 1952.""",0.01,Non-delay,126500.0,EXETER,26,1,1952,1952-01-26,Sinuiju-si,POINT (124.41924 40.08359),True
5759,676,26-52,98th Bomb Wing,B-29,1.0,,,,,,,,,38.94854839285714,126.74494803571427,,,32,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,19000,,Fuzed to discharge leaflets 1000 ft above the terrain.,,,16000.0,EXETER,26,1,1952,1952-01-26,North Korea,POINT (126.74494803571427 38.94854839285714),True
5760,676,26-52,98th Bomb Wing,B-29,8.0,1.0,,,Sinanju,Airfield,,XE 2138,51TXE2138,40.08359,124.41924,,,3,M-46,Shoran radar,,,Interdiction,24500 - 26500,,"""1 bomb pattern fell in open fields and across the highway northeast of the base during the attack. Other patterns, according to the reconnaissance report, fell around and on the north end of the airfield. Approximately 15 hits occurred on the runway. The damage had already been repaired and the airfield was serviceable when the oblique photographs were taken according to the bomb damage assessment report dated 17 February, 1952.""",,,750.0,EXETER,26,1,1952,1952-01-26,Sinuiju-si,POINT (124.41924 40.08359),True
5761,676,26-52,98th Bomb Wing,B-29,2.0,1.0,,,Wa-dong,Highway and railroad bridge complex,,BU 8348,52SBJ8348,39.25419,126.48513,,,6,M-46,Shoran radar,,262159I,Interdiction,20500 - 21000,,Post-strike recon plotted one bomb pattern north of the bridge. Both highway and railroad bridges were serviceable.,,,1500.0,EXETER,26,1,1952,1952-01-26,Sinyang-up,POINT (126.48513 39.25419),True
5762,676,26-52,98th Bomb Wing,B-29,2.0,1.0,,,Hungnam,Marshalling yard,,CV 8109,52SCK8109,39.82267,127.60951,,,6,M-46,Radar,,,Interdiction,15350 - 18000,,No new bomb craters were sighted. The yard was serviceable with two through lines intact.,,,1500.0,EXETER,26,1,1952,1952-01-26,Hamhung-si,POINT (127.60951 39.82267),True
5763,676,26-52,91st Strategic Recon Sq,,1.0,,,,Mission 1-26-1 accomplished reconnaissance of Route Yoke Three.,,,,,38.94854839285714,126.74494803571427,,,,,,,,Recon,6500 - 13000,,,,,,EXETER,26,1,1952,1952-01-26,North Korea,POINT (126.74494803571427 38.94854839285714),True
5764,676,26-52,91st Strategic Recon Sq,,1.0,,,,"""Mission 1-26-4 accomplished JM-2, 5, and 24 plus FRJ-61, 278, and 279. A T-11 camera with a 6 inch cone and a K-17 aerial camera with a 12 inch cone were used.""",,,,,38.94854839285714,126.74494803571427,,,,,,,,Recon,500 - 25000,,Good results.,,,,EXETER,26,1,1952,1952-01-26,North Korea,POINT (126.74494803571427 38.94854839285714),True
5765,677,27-52,307th Bomb Wing,B-29,1.0,1.0,,,,Front line target,,CT 7660,52SCH7660,38.47972,127.57838,,,9,500 GP,Radar,,280231I,Close support,17700,,,0.01,Non-delay,4500.0,EXETER,27,1,1952,1952-01-27,Wonbuk-ri,POINT (127.57838 38.47972),True
5766,677,27-52,307th Bomb Wing,B-29,1.0,,,,,Front line target,,CT block,,38.904401052631584,126.63132087719298,,,10,500 GP,Radar,,272351I,Close support,17500,,,0.01,Non-delay,5000.0,EXETER,27,1,1952,1952-01-27,North Korea,POINT (126.63132087719298 38.904401052631584),True
5767,677,27-52,307th Bomb Wing,B-29,1.0,1.0,,,,Front line target,,CT block,,38.904401052631584,126.63132087719298,,,10,500 GP,Radar,,280004I,Close support,17500,,,0.01,Non-delay,5000.0,EXETER,27,1,1952,1952-01-27,North Korea,POINT (126.63132087719298 38.904401052631584),True
5768,677,27-52,307th Bomb Wing,B-29,1.0,1.0,,,,Front line target,,CT block,,38.904401052631584,126.63132087719298,,,10,500 GP,Radar,,280017I,Close support,17500,,,0.01,Non-delay,5000.0,EXETER,27,1,1952,1952-01-27,North Korea,POINT (126.63132087719298 38.904401052631584),True
5769,677,27-52,307th Bomb Wing,B-29,1.0,1.0,,,,Front line target,,CT block,,38.904401052631584,126.63132087719298,,,10,500 GP,Radar,,280034I,Close support,17500,,,0.01,Non-delay,5000.0,EXETER,27,1,1952,1952-01-27,North Korea,POINT (126.63132087719298 38.904401052631584),True
5770,677,27-52,307th Bomb Wing,B-29,1.0,,,,,Front line target,,CT 7761,52SCH7761,38.48886,127.58966,,,10,500 GP,Radar,,280151I,Close support,17700,,,0.01,Non-delay,5000.0,EXETER,27,1,1952,1952-01-27,Wonbuk-ri,POINT (127.58966 38.48886),True
5771,677,27-52,307th Bomb Wing,B-29,1.0,1.0,,,,Front line target,,CT 7762,52SCH7762,38.49787,127.58949,,,10,500 GP,Radar,,280208I,Close support,17700,,,0.01,Non-delay,5000.0,EXETER,27,1,1952,1952-01-27,Wonbuk-ri,POINT (127.58949 38.49787),True
5772,677,27-52,307th Bomb Wing,B-29,1.0,1.0,,,,Front line target,,CT 7860,52SCH7860,38.47999,127.6013,,,10,500 GP,Radar,,280219I,Close support,17700,,,0.01,Non-delay,5000.0,EXETER,27,1,1952,1952-01-27,Wonbuk-ri,POINT (127.6013 38.47999),True
5773,677,27-52,307th Bomb Wing,B-29,1.0,1.0,,,,Front line target,,CT 7861,52SCH7861,38.489,127.60113,,,19,500 GP,Radar,,,Close support,17500,,,0.01,Non-delay,9500.0,EXETER,27,1,1952,1952-01-27,Wonbuk-ri,POINT (127.60113 38.489),True
5774,677,27-52,307th Bomb Wing,B-29,1.0,,,,,Front line target,,CT 7760,52SCH7760,38.47985,127.58984,,,20,500 GP,Radar,,,Close support,17500,,,0.01,Non-delay,10000.0,EXETER,27,1,1952,1952-01-27,Wonbuk-ri,POINT (127.58984 38.47985),True
5775,677,27-52,307th Bomb Wing,B-29,1.0,,1.0,,,,,,,38.904401052631584,126.63132087719298,2628N,12547E,37,500 GP,,,,,,,Aircraft air-aborted due to sever icing conditions which froze the ailerons and resulted in a loss of 7000 ft altitude in a short time.,,,18500.0,EXETER,27,1,1952,1952-01-27,North Korea,POINT (126.63132087719298 38.904401052631584),True
5776,677,27-52,307th Bomb Wing,B-29,9.0,,,,Sinanju,East railroad by-pass bridge,,,,38.904401052631584,126.63132087719298,,,338,500 GP,Radar,,,Interdiction,21500 - 47900,,,0.01,Non-delay,169000.0,EXETER,27,1,1952,1952-01-27,North Korea,POINT (126.63132087719298 38.904401052631584),True
5777,677,27-52,98th Bomb Wing,B-29,1.0,,,,,,,,,38.904401052631584,126.63132087719298,,,32,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,20000,,Fuzed to discharge leaflets 1000 ft above the terrain.,,,16000.0,EXETER,27,1,1952,1952-01-27,North Korea,POINT (126.63132087719298 38.904401052631584),True
5778,677,27-52,307th Bomb Wing,B-29,1.0,1.0,1.0,,,,,,,38.904401052631584,126.63132087719298,2628N,12547E,6,M-46,,,,,,,Aircraft air-aborted due to sever icing conditions which froze the ailerons and resulted in a loss of 7000 ft altitude in a short time.,,,1500.0,EXETER,27,1,1952,1952-01-27,North Korea,POINT (126.63132087719298 38.904401052631584),True
5779,677,27-52,307th Bomb Wing,B-29,9.0,1.0,,,Sinanju,East railroad by-pass bridge,,,,38.904401052631584,126.63132087719298,,,24,M-46,Radar,,272013I,Interdiction,21500 - 47900,,,0.01,Non-delay,6000.0,EXETER,27,1,1952,1952-01-27,North Korea,POINT (126.63132087719298 38.904401052631584),True
5780,677,27-52,91st Strategic Recon Sq,,1.0,,,,Mission 1-27-1 accomplished reconnaissance of Route Yoke Three. A K-22 aerial camera with a 24 inch cone and an O-15 radar scope were used.,,,,,38.904401052631584,126.63132087719298,,,,,,,,Recon,1500 - 12000,,Good results.,,,,EXETER,27,1,1952,1952-01-27,North Korea,POINT (126.63132087719298 38.904401052631584),True
5781,677,27-52,91st Strategic Recon Sq,,1.0,,,,"""Mission 1-27-2 accomplished vertical coverage of FRJ-21, 169, 201, 312, 313, and 331. A K-17 aerial camera with a 12 inch cone was used.""",,,,,38.904401052631584,126.63132087719298,,,,,,,,Recon,3500 - 15000,,Good results.,,,,EXETER,27,1,1952,1952-01-27,North Korea,POINT (126.63132087719298 38.904401052631584),True
5782,677,27-52,91st Strategic Recon Sq,,1.0,,,,"""Mission 1-27-3 accomplished oblique coverage only of FRJ-11, 33, 36, 29, and 487. A K-17 aerial camera with a 12 inch cone was used.""",,,,,38.904401052631584,126.63132087719298,,,,,,,,Recon,3500,,Good results.,,,,EXETER,27,1,1952,1952-01-27,North Korea,POINT (126.63132087719298 38.904401052631584),True
5783,677,27-52,91st Strategic Recon Sq,,1.0,,,,"""Mission 1-27-4 accomplished communications line 45, 60, 61, and 62 on Project JM-4. A T-11 camera was used.""",,,,,38.904401052631584,126.63132087719298,,,,,,,,Recon,8000,,Good results.,,,,EXETER,27,1,1952,1952-01-27,North Korea,POINT (126.63132087719298 38.904401052631584),True
5784,677,27-52,91st Strategic Recon Sq,,1.0,,,,"""Mission 1-27-1A accomplished radar scope photo runs on FRJ-382 on headings of 357, 045, 275, and 090 degrees. A O-15 radar scope was used. """,,,,,38.904401052631584,126.63132087719298,,,,,,,,Recon,25000,,Good results.,,,,EXETER,27,1,1952,1952-01-27,North Korea,POINT (126.63132087719298 38.904401052631584),True
5785,678,28-52,19th Bomb Group,B-29,1.0,,,,,Troop concentration and unknown targets,,DT 216517 to DT 222516,,38.83759057971015,126.65430391304348,,,10,500 GP,Radar,,,close support,17500,,,,,5000.0,EXETER,28,1,1952,1952-01-28,Goeup-ri,POINT (126.65430391304348 38.83759057971015),True
5786,678,28-52,19th Bomb Group,B-29,1.0,1.0,,,,Troop concentration and unknown targets,,DT 132486 to DT 135485,,38.83759057971015,126.65430391304348,,,10,500 GP,Radar,,,close support,17500,,,,,5000.0,EXETER,28,1,1952,1952-01-28,Goeup-ri,POINT (126.65430391304348 38.83759057971015),True
5787,678,28-52,19th Bomb Group,B-29,1.0,1.0,,,,Troop concentration and unknown targets,,DT 060584 to DT 060582,,38.83759057971015,126.65430391304348,,,10,500 GP,Radar,,,close support,17500,,,,,5000.0,EXETER,28,1,1952,1952-01-28,Goeup-ri,POINT (126.65430391304348 38.83759057971015),True
5788,678,28-52,19th Bomb Group,B-29,1.0,1.0,,,,Troop concentration and unknown targets,,DT 206159 to DT 209519,,38.83759057971015,126.65430391304348,,,10,500 GP,Radar,,290430I,close support,17500,,,,,5000.0,EXETER,28,1,1952,1952-01-28,Goeup-ri,POINT (126.65430391304348 38.83759057971015),True
5789,678,28-52,19th Bomb Group,B-29,1.0,,1.0,,,,,,,38.83759057971015,126.65430391304348,3140N,12825E,38,500 GP,,,,,,,Aircraft air-abortd due to a runaway propeller on number 2 engine.,,,19000.0,EXETER,28,1,1952,1952-01-28,Goeup-ri,POINT (126.65430391304348 38.83759057971015),True
5790,678,28-52,19th Bomb Group,B-29,1.0,,,,,Unknown target,,CT 8264,52SCH8264,38.51657,127.64647,,,40,500 GP,Radar,,281850I,close support,17500,,,0.01,0.01,20000.0,EXETER,28,1,1952,1952-01-28,North Korea,POINT (127.64647 38.51657),True
5791,678,28-52,19th Bomb Group,B-29,1.0,,,,,Personnel and supplies,,CT 0555,52SCH0555,38.42199,126.76624,,,40,500 GP,Radar,,209341I,close support,18400,,,VT,Non-delay,20000.0,EXETER,28,1,1952,1952-01-28,North Korea,POINT (126.76624 38.42199),True
5792,678,28-52,19th Bomb Group,B-29,9.0,,,,Sinanju,West railroad by-pass road.,,YD 2488,51SYD2488,39.61247,125.60933,,,348,500 GP,Shoran radar,,,Interdiction,20800 - 22500,,Post-strike recon disclosed seven drops (including bombs released by 307th bomb wing b-29s on 27 Jan 1952) formed a large pattern in the target area. Other patterns apparently fell into the river and could not be plotted. At least 3 patterns apparently fell east of the target area. The west railroad bridge had a 210 ft gap near the center and one direct hit on the northern approach. The east bridge appeared to be serviceable although slight damage was incurred by near misses.,0.01,0.01,174000.0,EXETER,28,1,1952,1952-01-28,Anju-si,POINT (125.60933 39.61247),True
5793,678,28-52,98th Bomb Wing,B-29,1.0,,,,,,,,,38.83759057971015,126.65430391304348,,,32,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,19500,,Fuzed to discharge leaflets 1000 ft above the terrain.,,,16000.0,EXETER,28,1,1952,1952-01-28,Goeup-ri,POINT (126.65430391304348 38.83759057971015),True
5794,678,28-52,19th Bomb Group,B-29,1.0,1.0,,,,,,,,38.83759057971015,126.65430391304348,3140N,12825E,6,M-46,,,,,,,Aircraft air-abortd due to a runaway propeller on number 2 engine.,,,1500.0,EXETER,28,1,1952,1952-01-28,Goeup-ri,POINT (126.65430391304348 38.83759057971015),True
